Nazwa;Gry zespołowe;Grupy osób;Rok;Wartość;Jednostka miary
POLSKA;baseball;ogółem;2020;737;osoba
POLSKA;hokej na trawie;ogółem;2020;2914;osoba
POLSKA;koszykówka;ogółem;2020;38784;osoba
POLSKA;piłka ręczna;ogółem;2020;33431;osoba
DOLNOŚLĄSKIE;baseball;ogółem;2020;142;osoba
DOLNOŚLĄSKIE;hokej na trawie;ogółem;2020;200;osoba
DOLNOŚLĄSKIE;koszykówka;ogółem;2020;2828;osoba
DOLNOŚLĄSKIE;piłka ręczna;ogółem;2020;2339;osoba
KUJAWSKO-POMORSKIE;baseball;ogółem;2020;85;osoba
KUJAWSKO-POMORSKIE;hokej na trawie;ogółem;2020;673;osoba
KUJAWSKO-POMORSKIE;koszykówka;ogółem;2020;3014;osoba
KUJAWSKO-POMORSKIE;piłka ręczna;ogółem;2020;1740;osoba
LUBELSKIE;baseball;ogółem;2020;0;osoba
LUBELSKIE;hokej na trawie;ogółem;2020;0;osoba
LUBELSKIE;koszykówka;ogółem;2020;1511;osoba
LUBELSKIE;piłka ręczna;ogółem;2020;1754;osoba
LUBUSKIE;baseball;ogółem;2020;31;osoba
LUBUSKIE;hokej na trawie;ogółem;2020;0;osoba
LUBUSKIE;koszykówka;ogółem;2020;1413;osoba
LUBUSKIE;piłka ręczna;ogółem;2020;902;osoba
ŁÓDZKIE;baseball;ogółem;2020;87;osoba
ŁÓDZKIE;hokej na trawie;ogółem;2020;225;osoba
ŁÓDZKIE;koszykówka;ogółem;2020;2512;osoba
ŁÓDZKIE;piłka ręczna;ogółem;2020;1514;osoba
MAŁOPOLSKIE;baseball;ogółem;2020;19;osoba
MAŁOPOLSKIE;hokej na trawie;ogółem;2020;0;osoba
MAŁOPOLSKIE;koszykówka;ogółem;2020;3187;osoba
MAŁOPOLSKIE;piłka ręczna;ogółem;2020;2878;osoba
MAZOWIECKIE;baseball;ogółem;2020;30;osoba
MAZOWIECKIE;hokej na trawie;ogółem;2020;45;osoba
MAZOWIECKIE;koszykówka;ogółem;2020;6400;osoba
MAZOWIECKIE;piłka ręczna;ogółem;2020;4812;osoba
OPOLSKIE;baseball;ogółem;2020;29;osoba
OPOLSKIE;hokej na trawie;ogółem;2020;140;osoba
OPOLSKIE;koszykówka;ogółem;2020;952;osoba
OPOLSKIE;piłka ręczna;ogółem;2020;1263;osoba
PODKARPACKIE;baseball;ogółem;2020;0;osoba
PODKARPACKIE;hokej na trawie;ogółem;2020;0;osoba
PODKARPACKIE;koszykówka;ogółem;2020;2177;osoba
PODKARPACKIE;piłka ręczna;ogółem;2020;2054;osoba
PODLASKIE;baseball;ogółem;2020;18;osoba
PODLASKIE;hokej na trawie;ogółem;2020;0;osoba
PODLASKIE;koszykówka;ogółem;2020;1616;osoba
PODLASKIE;piłka ręczna;ogółem;2020;1070;osoba
POMORSKIE;baseball;ogółem;2020;0;osoba
POMORSKIE;hokej na trawie;ogółem;2020;0;osoba
POMORSKIE;koszykówka;ogółem;2020;2090;osoba
POMORSKIE;piłka ręczna;ogółem;2020;2687;osoba
ŚLĄSKIE;baseball;ogółem;2020;184;osoba
ŚLĄSKIE;hokej na trawie;ogółem;2020;551;osoba
ŚLĄSKIE;koszykówka;ogółem;2020;3665;osoba
ŚLĄSKIE;piłka ręczna;ogółem;2020;3224;osoba
ŚWIĘTOKRZYSKIE;baseball;ogółem;2020;0;osoba
ŚWIĘTOKRZYSKIE;hokej na trawie;ogółem;2020;0;osoba
ŚWIĘTOKRZYSKIE;koszykówka;ogółem;2020;257;osoba
ŚWIĘTOKRZYSKIE;piłka ręczna;ogółem;2020;1145;osoba
WARMIŃSKO-MAZURSKIE;baseball;ogółem;2020;100;osoba
WARMIŃSKO-MAZURSKIE;hokej na trawie;ogółem;2020;0;osoba
WARMIŃSKO-MAZURSKIE;koszykówka;ogółem;2020;1062;osoba
WARMIŃSKO-MAZURSKIE;piłka ręczna;ogółem;2020;773;osoba
WIELKOPOLSKIE;baseball;ogółem;2020;0;osoba
WIELKOPOLSKIE;hokej na trawie;ogółem;2020;1046;osoba
WIELKOPOLSKIE;koszykówka;ogółem;2020;4446;osoba
WIELKOPOLSKIE;piłka ręczna;ogółem;2020;3427;osoba
ZACHODNIOPOMORSKIE;baseball;ogółem;2020;12;osoba
ZACHODNIOPOMORSKIE;hokej na trawie;ogółem;2020;34;osoba
ZACHODNIOPOMORSKIE;koszykówka;ogółem;2020;1654;osoba
ZACHODNIOPOMORSKIE;piłka ręczna;ogółem;2020;1849;osoba
